secid,date,expiration,ForwardPrice
108105,20100209,20100522,1065.191228
108105,20100209,20100619,1063.780511
108105,20100209,20100630,1063.137362
108105,20100209,20100630,1063.186566
108105,20100209,20100918,1059.462014
108105,20100209,20100930,1058.846543
108105,20100209,20100930,1058.890144
108105,20100209,20101218,1055.658663
108105,20100209,20101231,1055.128141
108105,20100209,20101231,1055.162974
108105,20100209,20110618,1050.675891
108105,20100209,20111217,1049.335803
108105,20100209,20121222,1056.783308
108105,20100210,20100212,1068.018524
108105,20100210,20100220,1067.684499
108105,20100210,20100320,1066.151272
108105,20100210,20100331,1065.506916
108105,20100210,20100417,1064.659576
108105,20100210,20100522,1062.845827
108105,20100210,20100619,1061.437949
108105,20100210,20100630,1060.799068
108105,20100210,20100630,1060.84791
108105,20100210,20100918,1057.171006
108105,20100210,20100930,1056.567809
108105,20100210,20100930,1056.610496
108105,20100210,20101218,1053.467835
108105,20100210,20101231,1052.958751
108105,20100210,20101231,1052.992113
108105,20100210,20110618,1048.823239
108105,20100210,20111217,1047.915437
108105,20100210,20121222,1056.318419
108105,20100211,20100212,1078.41369
108105,20100211,20100220,1078.075893
108105,20100211,20100320,1076.526871
108105,20100211,20100331,1075.875518
108105,20100211,20100417,1075.018817
108105,20100211,20100522,1073.180714
108105,20100211,20100619,1071.753094
108105,20100211,20100630,1071.105342
108105,20100211,20100630,1071.154871
108105,20100211,20100918,1067.416801
108105,20100211,20100930,1066.804776
108105,20100211,20100930,1066.848089
108105,20100211,20101218,1063.658255
108105,20100211,20101231,1063.141022
108105,20100211,20101231,1063.174922
108105,20100211,20110618,1058.9028
108105,20100211,20111217,1057.841391
108105,20100211,20121222,1066.160549
108105,20100212,20100220,1075.172916
108105,20100212,20100320,1073.627372
108105,20100212,20100331,1072.977394
108105,20100212,20100417,1072.122474
108105,20100212,20100522,1070.288175
108105,20100212,20100619,1068.86326
108105,20100212,20100630,1068.213462
108105,20100212,20100630,1068.263171
108105,20100212,20100918,1064.55807
108105,20100212,20100930,1063.935105
108105,20100212,20100930,1063.979255
108105,20100212,20101218,1060.698952
108105,20100212,20101231,1060.160351
108105,20100212,20101231,1060.195728
108105,20100212,20110618,1055.604532
108105,20100212,20111217,1054.169813
108105,20100212,20121222,1061.740387
108105,20100216,20100220,1094.75548
108105,20100216,20100320,1093.172996
108105,20100216,20100331,1092.507088
108105,20100216,20100417,1091.630638
108105,20100216,20100522,1089.749784
108105,20100216,20100619,1088.280174
108105,20100216,20100630,1087.608637
108105,20100216,20100630,1087.660044
108105,20100216,20100918,1083.788522
108105,20100216,20100930,1083.136816
108105,20100216,20100930,1083.183041
108105,20100216,20101218,1079.731398
108105,20100216,20101231,1079.163194
108105,20100216,20101231,1079.200549
108105,20100216,20110618,1074.290701
